CBR_Flow_Rate,Reno_1_1_4,Reno_1_5_6,NewReno_2,Reno_2,Vegas_3_1_4,Vegas_3_5_6,NewReno_4,Vegas_4
1,0.0375,0.015,0.0367,0.015,0.007,0.0144,0,0.007
2,0.03,0.0301,0.0283,0.0301,0.0144,0.0071,0,0
3,0.0452,0.0152,0.0449,0.0153,0,0.0071,0.014,0
4,0.0528,0.0229,0.0523,0.0229,0.0214,0.0302,0.0069,0.0148
5,0.016,0.0562,0.0148,0.0561,0.0215,0.1001,0,0.0313
6,0.1472,0.135,0.2892,0.0617,0.0077,0.0573,0.0076,0.0337
7,0.1782,0.1968,0.128,0.2122,0.009,0.0657,0.2615,0.1245
8,0.4711,0.4791,0.3836,0.7306,0.0116,0.0502,0.462,0.3846
9,1.1504,1.7259,1.7062,1.0593,0.0631,0.5519,0.8387,0.6757
10,6.2112,4.1176,6.2112,4.1176,23.2143,26,9.0909,13.7931
