CBR_Flow_Rate,Reno_1_1_4,Reno_1_5_6,NewReno_2,Reno_2,Vegas_3_1_4,Vegas_3_5_6,NewReno_4,Vegas_4
1,18.276,18.268,18.672,18.268,19.019,18.321,20.476,19.019
2,18.268,18.243,19.389,18.252,18.329,18.741,20.46,19.329
3,18.186,18.004,18.342,17.98,19.392,18.654,19.661,19.265
4,18.194,17.98,18.351,17.98,18.527,17.488,19.809,17.9
5,17.164,17.065,18.573,17.115,18.456,11.862,19.809,16.885
6,13.011,12.162,10.852,15.557,17.25,11.521,18.153,11.759
7,10.745,9.724,12.83,9.658,14.647,8.046,10.44,10.593
8,6.345,6.238,9.229,4.623,11.418,7.903,6.765,8.188
9,3.025,2.604,3.568,3.165,6.284,5.213,6.271,1.738
10,0.38,0.421,0.38,0.421,0.04,0.032,0.19,0.111
