Reno_DropTail_Time,Reno_DropTail_Value,Reno_RED_Time,Reno_RED_Value,SACK_DropTail_Time,SACK_DropTail_Value,SACK_RED_Time,SACK_RED_Value
0.030096,60.192,0.030096,60.192,0.030096,60.192,0.030096,60.192
0.091488,62.592,0.091488,62.592,0.091488,62.592,0.091488,62.592
0.091904,63.424,0.091904,63.424,0.091904,63.424,0.091904,63.424
0.15408,62.592,0.15408,62.592,0.15408,62.592,0.15408,62.592
0.154496,63.424,0.154496,63.424,0.154496,63.424,0.154496,63.424
0.155328,63.424,0.155328,63.424,0.155328,63.424,0.155328,63.424
0.155744,64.256,0.155744,64.256,0.155744,64.256,0.155744,64.256
0.216672,62.592,0.216672,62.592,0.216672,62.592,0.216672,62.592
0.217088,63.424,0.217088,63.424,0.217088,63.424,0.217088,63.424
0.21792,63.424,0.21792,63.424,0.21792,63.424,0.21792,63.424
0.218336,64.256,0.218336,64.256,0.218336,64.256,0.218336,64.256
0.219168,64.256,0.219168,64.256,0.219168,64.256,0.219168,64.256
0.219584,65.088,0.219584,65.088,0.219584,65.088,0.219584,65.088
0.220416,65.088,0.220416,65.088,0.220416,65.088,0.220416,65.088
0.220832,65.92,0.220832,65.92,0.220832,65.92,0.220832,65.92
0.279264,62.592,0.279264,62.592,0.279264,62.592,0.279264,62.592
0.27968,63.424,0.27968,63.424,0.27968,63.424,0.27968,63.424
0.280512,63.424,0.280512,63.424,0.280512,63.424,0.280512,63.424
0.280928,64.256,0.280928,64.256,0.280928,64.256,0.280928,64.256
0.28176,64.256,0.28176,64.256,0.28176,64.256,0.28176,64.256
0.282176,65.088,0.282176,65.088,0.282176,65.088,0.282176,65.088
0.283008,65.088,0.283008,65.088,0.283008,65.088,0.283008,65.088
0.283424,65.92,0.283424,65.92,0.283424,65.92,0.283424,65.92
0.284256,65.92,0.284256,65.92,0.284256,65.92,0.284256,65.92
0.284672,66.752,0.284672,66.752,0.284672,66.752,0.284672,66.752
0.285504,66.752,0.285504,66.752,0.285504,66.752,0.285504,66.752
0.28592,67.584,0.28592,67.584,0.28592,67.584,0.28592,67.584
0.286752,67.584,0.286752,67.584,0.286752,67.584,0.286752,67.584
0.287168,68.416,0.287168,68.416,0.287168,68.416,0.287168,68.416
0.288,68.416,0.345184,182.784,0.288,68.416,0.3452225,182.861
0.288416,69.248,0.408192,181.952,0.288416,69.248,0.3773505,120.269
0.341856,62.592,0.509024,381.952,0.341856,62.592,0.3844415,132.787
0.342272,63.424,0.541152,444.544,0.342272,63.424,0.3852735,132.787
0.343104,63.424,0.572864,506.304,0.343104,63.424,0.3861055,132.787
0.34352,64.256,0.574112,507.136,0.34352,64.256,0.3869375,132.787
0.344352,64.256,0.604992,567.232,0.344352,64.256,0.38776,132.768
0.344768,65.088,0.60624,568.064,0.344768,65.088,0.41032,176.224
0.3456,65.088,0.695552,517.952,0.3456,65.088,0.436624,125.242
0.346016,65.92,0.923232,64.256,0.346016,65.92,0.468781,62.592
0.346848,65.92,0.923648,65.088,0.346848,65.92,0.469197,63.424
0.347264,66.752,0.924064,65.92,0.347264,66.752,0.482131,62.592
0.348096,66.752,0.92448,66.752,0.348096,66.752,0.482547,63.424
0.348512,67.584,0.924896,67.584,0.348512,67.584,0.483379,63.424
0.349344,67.584,0.983328,184.448,0.349344,67.584,0.483795,64.256
0.34976,68.416,1.047584,69.248,0.34976,68.416,0.484627,64.256
0.350592,68.416,1.05424,62.592,0.350592,68.416,0.485043,65.088
0.351008,69.248,1.106848,62.592,0.351008,69.248,0.485875,65.088
0.35184,69.248,1.113504,62.592,0.35184,69.248,0.486291,65.92
0.352256,70.08,1.11392,63.424,0.352256,70.08,0.4871135,65.939
0.353088,70.08,1.116832,62.592,0.353088,70.08,0.4875295,66.771
0.353504,70.912,1.16944,62.592,0.353504,70.912,0.529728,62.592
0.354336,70.912,1.176096,62.592,0.354336,70.912,0.530144,63.424
0.354752,71.744,1.176928,62.592,0.354752,71.744,0.5309665,63.443
0.355584,71.744,1.177344,63.424,0.355584,71.744,0.5317985,63.443
0.356,72.576,1.179424,62.592,0.356,72.576,0.5326305,63.443
0.356832,72.576,1.232032,62.592,0.356832,72.576,0.544723,62.592
0.357248,73.408,1.238688,62.592,0.357248,73.408,0.545555,62.592
0.35808,73.408,1.23952,62.592,0.35808,73.408,0.546387,62.592
0.358496,74.24,1.240352,62.592,0.358496,74.24,0.547219,62.592
0.410272,176.128,1.240768,63.424,0.41032,176.224,0.548051,62.592
0.441984,237.888,1.242016,62.592,0.411152,176.224,0.548883,62.592
0.572864,377.792,1.294624,62.592,0.4545215,141.107,0.549299,63.424
0.604992,440.384,1.30128,62.592,0.4553535,141.107,0.550131,63.424
0.636704,502.144,1.302112,62.592,0.4561855,141.107,0.550963,63.424
0.637952,502.976,1.302944,62.592,0.4570175,141.107,0.551795,63.424
0.668832,563.072,1.303776,62.592,0.4578495,141.107,0.552627,63.424
0.67008,563.904,1.304608,62.592,0.4586815,141.107,0.59232,62.592
0.671328,564.736,1.305024,63.424,0.4595135,141.107,0.593152,62.592
0.701376,623.168,1.357216,62.592,0.4603455,141.107,0.593984,62.592
0.702624,624,1.363872,62.592,0.4611775,141.107,0.594816,62.592
0.703872,624.832,1.364704,62.592,0.4620095,141.107,0.595648,62.592
0.70512,625.664,1.365536,62.592,0.4628415,141.107,0.607315,62.592
0.73392,681.6,1.366368,62.592,0.477101,167.962,0.608147,62.592
0.735168,682.432,1.3672,62.592,0.477933,167.962,0.608979,62.592
0.736416,683.264,1.368032,62.592,0.478765,167.962,0.609811,62.592
0.737664,684.096,1.368448,63.424,0.491661,192.09,0.610643,62.592
0.738912,684.928,1.419808,62.592,0.492483,192.07,0.611475,62.592
0.821568,646.464,1.426464,62.592,0.5125565,153.549,0.612307,62.592
1.113504,64.256,1.427296,62.592,0.558035,64.256,0.613139,62.592
1.114336,64.256,1.428128,62.592,0.558867,64.256,0.613555,63.424
1.114752,65.088,1.42896,62.592,0.559283,65.088,0.614387,63.424
1.115168,65.92,1.429792,62.592,0.560115,65.088,0.615219,63.424
1.115584,66.752,1.430624,62.592,0.560531,65.92,0.616051,63.424
1.116,67.584,1.431456,62.592,0.561363,65.92,0.654912,62.592
1.116416,68.416,1.4824,62.592,0.561779,66.752,0.655744,62.592
1.116832,69.248,1.482816,63.424,0.562611,66.752,0.656576,62.592
